"F1","F2"
"X223989","X559470"
"X1133067","X46444"
"X104016","X210559"
"X236870","X4343930"
"X227002","X4339772"
"X1143242","X244670"
"X205999","X309422"
"X1120344","X1597279"
"X220006","X4359316"
"X214128","X4359316"
"X4047525","X4359316"
"X4359316","X4373080"
"X4359316","X787350"
"X417101","X4359316"
"X4359316","X819753"
"X4343167","X4359316"
"X245661","X4359316"
"X4359316","X4469248"
"X1140682","X4359316"
"X4359316","X4476744"
"X4359316","X4386443"
"X4318044","X4359316"
"X255186","X4359316"
"X4359316","X4479286"
"X4308264","X4359316"
"X518524","X622571"
"X1138433","X154876"
"X167878","X849080"
"X154220","X216497"
"X1793227","X574969"
"X241009","X4363347"
"X236025","X4440616"
"X1122827","X113118"
"X111088","X1125837"
"X123738","X1597279"
"X4381458","X4461509"
"X137180","X3011887"
"X1128776","X524203"
"X1107740","X2804995"
"X188263","X209935"
"X214916","X243954"
"X236596","X4462831"
"X4397593","X4462831"
"X4462831","X814145"
"X1133502","X4462831"
"X4462831","X590849"
"X320992","X4462831"
"X1133506","X4462831"
"X240890","X4462831"
"X4462831","X4470972"
"X242324","X4462831"
"X160786","X4462831"
"X4341344","X4462831"
"X1129515","X4462831"
"X242252","X4462831"
"X4417095","X4462831"
"X207672","X4463044"
"X538512","X544302"
"X538512","X565862"
"X4458013","X538512"
"X4463047","X538512"
"X219763","X538512"
"X538512","X749768"
"X538512","X589233"
"X2353709","X538512"
"X538512","X738462"
"X538512","X804114"
"X359891","X538512"
"X4378679","X538512"
"X538512","X714446"
"X1086575","X538512"
"X3460762","X4047524"
"X3460762","X4482379"
"X3460762","X4044057"
"X213764","X3460762"
"X250274","X3460762"
"X333617","X3460762"
"X2025156","X3460762"
"X3460762","X773538"
"X2200137","X3460762"
"X3460762","X38048"
"X3460762","X4338567"
"X249247","X3460762"
"X210559","X825474"
"X210619","X3117367"
"X205391","X2457239"
"X1105521","X1107468"
"X1030247","X1597279"
"X1134608","X4324652"
"X171166","X56109"
"X1107468","X24886"
"X1597279","X191331"
"X205397","X817744"
"X212546","X593162"
"X561842","X830836"
"X113170","X4426789"
"X4414809","X554950"
"X4304486","X4414775"
"X4339772","X81772"
"X534249","X618396"
"X205391","X211201"
"X241009","X4447049"
"X4398985","X534454"
"X513073","X826497"
"X239139","X246200"
"X3011887","X4320428"
"X845167","X985056"
"X209920","X874951"
"X1126808","X58103"
"X2881604","X542445"
"X136135","X568429"
"X1059885","X161630"
"X161630","X4395040"
"X1113341","X161630"
"X161630","X214087"
"X1096660","X161630"
"X161630","X4392369"
"X161630","X4343936"
"X161630","X207895"
"X161630","X904668"
"X161630","X235287"
"X161630","X770366"
"X161630","X612504"
"X161630","X4366403"
"X155455","X561208"
"X154220","X4322378"
"X1107740","X4423750"
"X341898","X58103"
"X1132140","X896552"
"X226508","X783719"
"X223221","X568429"
"X1701833","X4339772"
"X360049","X4339772"
"X256612","X4339772"
"X4339772","X518645"
"X317451","X4339772"
"X1092680","X4339772"
"X237073","X4339772"
"X250187","X4339772"
"X1109766","X4339772"
"X134163","X4339772"
"X1106524","X4339772"
"X4004674","X4339772"
"X4339772","X612633"
"X4339772","X513782"
"X4339772","X536442"
"X217839","X4339774"
"X1108930","X154220"
"X4360319","X625825"
"X267354","X4360319"
"X214730","X4360319"
"X4360319","X4427473"
"X4360319","X580173"
"X4360319","X4389227"
"X4360319","X4428749"
"X4332942","X4360319"
"X211231","X4360319"
"X226516","X4360319"
"X246217","X4360319"
"X4360319","X783338"
"X210607","X4360319"
"X159654","X4360319"
"X1105901","X4360319"
"X1123749","X4360319"
"X207848","X4360319"
"X212584","X4359887"
"X212584","X4304927"
"X212584","X671156"
"X212584","X215999"
"X212584","X810167"
"X212584","X535859"
"X212584","X332041"
"X1127161","X212584"
"X212584","X811740"
"X212584","X549969"
"X212584","X4415674"
"X212584","X4333669"
"X212584","X4452864"
"X212584","X277373"
"X212584","X214585"
"X212584","X4472715"
"X212584","X551139"
"X212584","X4451942"
"X212584","X987863"
"X207947","X212584"
"X100640","X212584"
"X112836","X212584"
"X212584","X4332974"
"X4378777","X648741"
"X4737","X632751"
"X220042","X3011887"
"X362426","X4450314"
"X4345879","X826497"
"X236870","X352324"
"X1107468","X209392"
"X171166","X573165"
"X509179","X696433"
"X4298128","X542445"
"X1024056","X210344"
"X210344","X328181"
"X243136","X4365894"
"X251145","X67771"
"X4427084","X4737"
"X755581","X830836"
"X3780773","X4304486"
"X4304486","X4428562"
"X250268","X4304486"
"X4304486","X78424"
"X4304486","X645337"
"X3059362","X4304486"
"X4304486","X4360818"
"X238109","X4304486"
"X4304486","X680305"
"X3269318","X4304486"
"X1144253","X4304486"
"X4304486","X739135"
"X340964","X4304486"
"X218322","X247758"
"X4462639","X65695"
"X29360","X534249"
"X219330","X4359330"
"X1145461","X360530"
"X4324652","X566535"
"X198655","X534249"
"X4457283","X534249"
"X214595","X534249"
"X534249","X688993"
"X275810","X534249"
"X4104836","X534249"
"X534249","X65673"
"X247794","X534249"
"X534249","X998272"
"X533581","X534249"
"X204147","X534249"
"X534249","X554330"
"X236377","X534249"
"X534249","X79712"
"X534249","X580635"
"X206948","X534249"
"X4321559","X534249"
"X4385103","X534249"
"X534249","X660122"
"X4481986","X534249"
"X114037","X534249"
"X247758","X560245"
"X1032520","X4737"
"X223766","X783719"
"X156255","X236870"
"X106955","X223701"
"X237047","X268263"
"X237047","X4363494"
"X2203624","X675804"
"X1107029","X4414886"
"X217248","X347053"
"X202068","X542445"
"X1107740","X516306"
"X332788","X813938"
"X1133821","X214916"
"X589946","X845167"
"X4334908","X518524"
"X630731","X956988"
"X1144638","X759250"
"X1107468","X729349"
"X213535","X849080"
"X1701846","X4421933"
"X103580","X783209"
"X171166","X384373"
"X224043","X3087743"
"X195857","X817744"
"X162317","X4437557"
"X4372011","X532139"
"X237357","X716519"
"X342450","X4310044"
"X152462","X162317"
"X205391","X583819"
"X156650","X509179"
"X4356305","X58103"
"X113118","X518263"
"X208424","X683649"
"X4414886","X662983"
"X223989","X4343459"
"X4370361","X817744"
"X4416282","X518524"
"X113118","X255508"
"X1072801","X250278"
"X264954","X3490229"
"X675744","X899404"
"X4440616","X655650"
"X2078498","X4304296"
"X362426","X71577"
"X3075617","X36221"
"X204108","X205306"
"X209359","X574969"
"X4421238","X675804"
"X162317","X940666"
"X211678","X630731"
"X254938","X630731"
"X4370717","X630731"
"X218269","X630731"
"X568243","X630731"
"X245203","X630731"
"X205592","X630731"
"X223684","X630731"
"X339039","X630731"
"X225991","X630731"
"X215053","X630731"
"X582679","X630731"
"X216839","X630731"
"X226599","X630731"
"X1757040","X630731"
"X254031","X630731"
"X630731","X746927"
"X518524","X550937"
"X568429","X840081"
"X223593","X3122801"
"X210619","X225294"
"X243855","X4421933"
"X217248","X217880"
"X1072801","X815026"
"X162920","X899404"
"X245451","X542445"
"X1107468","X156032"
"X4418570","X554950"
"X211188","X4463044"
"X1145135","X4765"
"X2702263","X518990"
"X2867534","X3122801"
"X4441019","X4737"
"X4326151","X4461509"
"X222645","X524203"
"X4354842","X813938"
"X4737","X913706"
"X171166","X4465887"
"X148449","X4737"
"X4440638","X813938"
"X4421933","X870009"
"X4426789","X513798"
"X232365","X243136"
"X227011","X574297"
"X113279","X113684"
"X342450","X4422320"
"X1072801","X903187"
"X4421933","X542933"
"X219330","X312035"
"X1107740","X219078"
"X4333673","X509179"
"X554483","X580190"
"X1142733","X554483"
"X4178575","X554483"
"X4366008","X554483"
"X4466529","X554483"
"X226697","X554483"
"X312923","X554483"
"X4365064","X554483"
"X4440067","X554483"
"X543258","X554483"
"X343242","X554483"
"X310458","X554483"
"X1082249","X554483"
"X4393663","X554483"
"X188263","X636755"
"X1136721","X4440616"
"X4374096","X48487"
"X3471577","X826497"
"X237330","X46444"
"X237338","X245550"
"X216549","X783209"
"X188263","X212427"
"X1117661","X4445104"
"X518524","X763910"
"X1075811","X217839"
"X113118","X4406815"
"X2345806","X4353473"
"X3122801","X708849"
"X1125095","X3011887"
"X1140634","X154125"
"X1107049","X227920"
"X249173","X4398985"
"X215818","X4430681"
"X1671567","X67771"
"X217972","X4313529"
"X219818","X3011887"
"X154876","X4414731"
"X3087743","X785819"
"X4304553","X4326943"
"X250442","X4326943"
"X4326943","X827300"
"X4326943","X822219"
"X207510","X4326943"
"X2651794","X4326943"
"X4326943","X4391816"
"X1078375","X4326943"
"X1140514","X4326943"
"X223655","X4326943"
"X204470","X4326943"
"X4326943","X664216"
"X4326943","X526032"
"X4326943","X903626"
"X1108603","X4326943"
"X282328","X4326943"
"X361100","X4326943"
"X1143376","X4326943"
"X238022","X4326943"
"X222810","X4326943"
"X1523777","X4324652"
"X200014","X524203"
"X1597279","X249564"
"X136286","X204483"
"X235273","X243136"
"X217248","X251263"
"X509179","X583699"
"X387744","X58103"
"X210266","X4426789"
"X4340696","X899404"
"X154876","X761601"
"X4413728","X718463"
"X4342317","X4413728"
"X366930","X4413728"
"X1123797","X4413728"
"X4413728","X509374"
"X4413728","X4452072"
"X4413728","X560165"
"X1108556","X4413728"
"X4405449","X4413728"
"X236935","X4413728"
"X4413728","X509223"
"X4413728","X509529"
"X129685","X4413728"
"X205999","X630306"
"X205999","X332574"
"X1906814","X205999"
"X205999","X629456"
"X205999","X693971"
"X205999","X2606068"
"X205999","X324217"
"X137191","X205999"
"X1088543","X205999"
"X205999","X4414706"
"X205044","X205999"
"X205999","X584612"
"X205999","X576220"
"X205999","X301554"
"X205999","X228186"
"X205999","X4367292"
"X209238","X4469252"
"X143917","X2593582"
"X238816","X4331213"
"X209920","X955539"
"X4434889","X675804"
"X243136","X689666"
"X1048870","X1115183"
"X3780776","X518990"
"X4155882","X518990"
"X255018","X518990"
"X518990","X945733"
"X4317198","X518990"
"X511916","X518990"
"X4401982","X518990"
"X518990","X585151"
"X4456633","X518990"
"X1113105","X518990"
"X3242633","X518990"
"X1114591","X518990"
"X518990","X661235"
"X518990","X812730"
"X4345881","X518990"
"X226216","X518990"
"X240752","X518990"
"X518990","X938039"
"X240881","X518990"
"X1140307","X3122801"
"X1025830","X113684"
"X280943","X574969"
"X1107049","X207376"
"X207374","X217972"
"X1131914","X4463044"
"X524203","X614562"
"X4053780","X783719"
"X222534","X4440616"
"X217839","X235064"
"X205058","X4353473"
"X159656","X214806"
"X205391","X348270"
"X236870","X240403"
"X4353473","X802097"
"X220177","X233934"
"X209920","X3362404"
"X113684","X4440611"
"X227011","X4346564"
"X217972","X4253641"
"X257807","X826497"
"X211658","X4424841"
"X205391","X4476713"
"X2461324","X4440616"
"X219330","X4358020"
"X1137140","X2584634"
"X1107049","X4327829"
"X171397","X200629"
"X237357","X4453282"
"X237357","X4322237"
"X237357","X530809"
"X237357","X947354"
"X208637","X237357"
"X235695","X237357"
"X237357","X2838675"
"X237357","X589372"
"X237357","X309515"
"X237357","X4361131"
"X237357","X4402421"
"X237357","X683436"
"X205391","X217383"
"X226979","X4398985"
"X217388","X362426"
"X225379","X675804"
"X1072801","X4354699"
"X214916","X3155426"
"X207780","X239139"
"X206565","X36221"
"X1117661","X959929"
"X110291","X4353473"
"X231395","X4353473"
"X4353473","X4380399"
"X4353473","X828826"
"X4353473","X760304"
"X4353473","X927380"
"X220353","X4353473"
"X1880800","X4353473"
"X212945","X4353473"
"X4353473","X810997"
"X4353473","X4458583"
"X231733","X4353473"
"X152363","X4353473"
"X237047","X955576"
"X241009","X250119"
"X4475022","X568429"
"X1145461","X253255"
"X1145461","X4299286"
"X1145461","X2874848"
"X1145461","X2040589"
"X1145461","X401193"
"X1145461","X4346060"
"X1145461","X4435345"
"X1145461","X4358341"
"X1145461","X929398"
"X154220","X4140499"
"X67771","X877265"
"X4471636","X783209"
"X208009","X542445"
"X209238","X252012"
"X209238","X249280"
"X209238","X238538"
"X209238","X806564"
"X209238","X214977"
"X1107148","X209238"
"X209238","X4457835"
"X209238","X663399"
"X209238","X820182"
"X209238","X545436"
"X1125648","X209238"
"X1134236","X209238"
"X209238","X214914"
"X1013967","X162317"
"X113684","X205559"
"X4333468","X4421933"
"X1048870","X4430299"
"X214916","X4430568"
"X153088","X214916"
"X113066","X162317"
"X4395043","X524203"
"X1072801","X203975"
"X210344","X805276"
"X303607","X4424841"
"X1145338","X849080"
"X2329278","X966091"
"X1140634","X4391034"
"X113684","X4382580"
"X216604","X4304962"
"X2471299","X783209"
"X1148170","X67771"
"X136286","X206951"
"X383501","X76374"
"X1037111","X216604"
"X260920","X4426789"
"X113118","X165688"
"X580290","X759250"
"X111088","X114373"
"X17929","X4372011"
"X242829","X4372011"
"X1758198","X4372011"
"X152545","X4372011"
"X4372011","X805122"
"X204064","X4372011"
"X4372011","X4382186"
"X4372011","X533113"
"X151843","X4372011"
"X1139424","X4372011"
"X209613","X4372011"
"X216643","X4372011"
"X1564851","X4372011"
"X4372011","X928766"
"X216128","X4372011"
"X4372011","X584174"
"X4372011","X520961"
"X4372011","X651642"
"X204110","X4372011"
"X1132880","X4372011"
"X4373725","X845167"
"X241113","X675804"
"X3868361","X542445"
"X217839","X379634"
"X1110791","X139504"
"X114356","X1597279"
"X143917","X4396926"
"X155455","X3780774"
"X113237","X4398985"
"X342450","X806280"
"X223701","X224638"
"X223701","X564196"
"X223701","X4345884"
"X223701","X4428250"
"X223701","X84405"
"X223701","X562817"
"X223701","X996116"
"X223701","X311991"
"X223701","X3533944"
"X2216490","X241009"
"X209920","X609128"
"X219034","X3087743"
"X4328366","X4737"
"X171166","X542979"
"X4361561","X759250"
"X205811","X4414886"
"X238700","X845167"
"X205301","X845167"
"X4457195","X845167"
"X205900","X845167"
"X4091471","X845167"
"X4460870","X845167"
"X1140351","X845167"
"X4324314","X845167"
"X845167","X994593"
"X4446003","X845167"
"X130629","X845167"
"X560779","X845167"
"X210344","X216503"
"X208424","X334113"
"X113118","X237993"
"X1132140","X831520"
"X1754884","X245550"
"X4306132","X4737"
"X342450","X88335"
"X2584634","X823439"
"X249282","X542445"
"X209920","X632692"
"X227964","X46444"
"X249138","X4398985"
"X113609","X759250"
"X555059","X759250"
"X616310","X759250"
"X4362183","X759250"
"X2867528","X759250"
"X215379","X759250"
"X223752","X759250"
"X759250","X830015"
"X4363845","X759250"
"X22594","X759250"
"X346740","X759250"
"X4483076","X759250"
"X4356519","X759250"
"X4420719","X568429"
"X368986","X65695"
"X200629","X310346"
"X113118","X807707"
"X214916","X557496"
"X4421933","X4464306"
"X4432944","X817744"
"X209920","X672612"
"X3011887","X4359499"
"X220177","X337165"
"X1671561","X237047"
"X1671566","X849080"
"X245550","X4349209"
"X243136","X4431630"
"X543366","X966091"
"X200629","X4434042"
"X247758","X564674"
"X213922","X849080"
"X1109698","X849080"
"X222673","X849080"
"X3768296","X849080"
"X2867525","X849080"
"X4330994","X849080"
"X579143","X849080"
"X541209","X849080"
"X4362226","X849080"
"X849080","X99616"
"X242393","X849080"
"X329508","X849080"
"X212863","X849080"
"X4311541","X4424841"
"X1597279","X822776"
"X217248","X811187"
"X2584634","X4311893"
"X205391","X220795"
"X205391","X213687"
"X1139658","X205391"
"X1121483","X205391"
"X1123130","X205391"
"X205391","X669665"
"X205391","X821187"
"X205391","X2885481"
"X214916","X4417311"
"X342450","X4322512"
"X4326208","X574969"
"X222917","X4374096"
"X111088","X4306723"
"X200629","X4380621"
"X217839","X684669"
"X2902520","X4398985"
"X206938","X236870"
"X1146778","X4737"
"X4361041","X4440616"
"X65695","X733009"
"X1066660","X247758"
"X4369159","X4461509"
"X210036","X4414886"
"X217972","X671354"
"X1110791","X1134530"
"X1143858","X214916"
"X4370104","X4374096"
"X4461509","X573448"
"X1138141","X3490229"
"X1597279","X4362899"
"X4461509","X947849"
"X239139","X4416963"
"X1072801","X775737"
"X237179","X648741"
"X113212","X212546"
"X113748","X554950"
"X223989","X243360"
"X223989","X269944"
"X1012195","X223989"
"X223989","X2364698"
"X204324","X223989"
"X223989","X4393922"
"X223989","X4465329"
"X223989","X4390506"
"X223989","X256300"
"X223989","X579008"
"X223989","X398721"
"X223989","X4332061"
"X223989","X821764"
"X223989","X4454018"
"X223989","X831179"
"X223989","X239211"
"X111088","X339137"
"X133151","X4461509"
"X243136","X704614"
"X226743","X243136"
"X223286","X243136"
"X243136","X620656"
"X207124","X243136"
"X243136","X4388445"
"X243136","X4450823"
"X243136","X4333668"
"X243136","X541741"
"X1142196","X243136"
"X101884","X243136"
"X161241","X243136"
"X4430681","X4445432"
"X195967","X3490229"
"X509179","X523098"
"X209662","X67771"
"X212443","X3490229"
"X815236","X899404"
"X1001333","X1107468"
"X1107468","X734203"
"X1107468","X211329"
"X1107468","X4364578"
"X1107468","X245871"
"X1102974","X1107468"
"X1107468","X591575"
"X1107468","X836320"
"X1107468","X4421858"
"X1107468","X1107601"
"X1107468","X584580"
"X4381878","X4421933"
"X4414886","X919835"
"X217972","X2706695"
"X1004427","X154220"
"X113118","X156963"
"X214916","X82424"
"X222489","X65695"
"X588933","X65695"
"X253754","X65695"
"X366851","X65695"
"X4320467","X65695"
"X65695","X828722"
"X1028956","X65695"
"X65695","X816090"
"X4354822","X65695"
"X4438586","X65695"
"X65695","X811954"
"X366977","X65695"
"X4481484","X65695"
"X1132140","X244000"
"X4331213","X547926"
"X2584634","X3432765"
"X2584634","X303643"
"X1106653","X817744"
"X3087743","X4467325"
"X4461509","X576742"
"X261139","X4461509"
"X4461509","X824379"
"X3769417","X4461509"
"X243500","X4461509"
"X210800","X4461509"
"X4461509","X820335"
"X249435","X4461509"
"X102183","X4461509"
"X136281","X4461509"
"X224648","X4461509"
"X217839","X323929"
"X113684","X205434"
"X113684","X332725"
"X113684","X213078"
"X113684","X136883"
"X113684","X797200"
"X113684","X4302540"
"X113684","X52546"
"X1111634","X113684"
"X113684","X331108"
"X113684","X222022"
"X112992","X113684"
"X1107740","X255057"
"X1131787","X568429"
"X67771","X804187"
"X4421933","X720193"
"X210559","X243367"
"X4472518","X574969"
"X159656","X4215713"
"X214916","X4322536"
"X4428032","X509179"
"X156870","X542445"
"X1113028","X209920"
"X220177","X258814"
"X3122801","X4468095"
"X566165","X817744"
"X1137124","X2078498"
"X673712","X76374"
"X214916","X711023"
"X209595","X4424841"
"X4405710","X509179"
"X4398985","X716623"
"X106297","X4421933"
"X4346057","X830836"
"X4328544","X559240"
"X4328544","X4384233"
"X329490","X4328544"
"X4328544","X522337"
"X4328544","X71326"
"X285415","X4328544"
"X111439","X4328544"
"X4328544","X812522"
"X240064","X4328544"
"X240045","X4328544"
"X4328544","X4364580"
"X4328544","X549433"
"X1142263","X4328544"
"X4297666","X4328544"
"X4328544","X849553"
"X1139209","X4328544"
"X4328544","X710534"
"X1011476","X4328544"
"X3057707","X4328544"
"X254041","X574969"
"X2017429","X36221"
"X254514","X3087743"
"X1113693","X783719"
"X154220","X4457893"
"X4424841","X812958"
"X435795","X4737"
"X257386","X331020"
"X107654","X1140634"
"X1117661","X233703"
"X4324652","X529762"
"X4352292","X830836"
"X214676","X237047"
"X151131","X162317"
"X212546","X244936"
"X1145135","X815701"
"X3087743","X4400735"
"X159656","X4379834"
"X217248","X4396040"
"X1092384","X210619"
"X143917","X4426270"
"X171166","X205609"
"X1117349","X4418304"
"X1104452","X159656"
"X217839","X4467742"
"X217839","X4470894"
"X217839","X222364"
"X217839","X792796"
"X217839","X246567"
"X217839","X514316"
"X217839","X535545"
"X4335936","X554950"
"X1117661","X255255"
"X1117661","X1141126"
"X1140634","X681290"
"X208896","X783209"
"X236870","X4409450"
"X4369502","X509179"
"X58103","X727953"
"X4323037","X4331213"
"X4418595","X826497"
"X4386675","X4426789"
"X1125483","X204970"
"X143917","X758309"
"X109707","X4421933"
"X111088","X253948"
"X4420126","X966091"
"X209920","X4420125"
"X4426789","X539206"
"X4166998","X4414886"
"X154220","X890805"
"X3875675","X4440616"
"X4300142","X4737"
"X362426","X3749019"
"X1864542","X568429"
"X210619","X368658"
"X3490229","X4417475"
"X159656","X220148"
"X4333805","X46444"
"X1143242","X736099"
"X4308299","X4426789"
"X4426789","X992439"
"X4426789","X566684"
"X209946","X4426789"
"X4326937","X4426789"
"X4420570","X4426789"
"X4426789","X4453467"
"X4426789","X831386"
"X4426789","X577068"
"X184027","X4426789"
"X216576","X4426789"
"X4426789","X4464192"
"X36221","X509578"
"X36221","X4329545"
"X36221","X550734"
"X225306","X36221"
"X36221","X4439862"
"X36221","X4342154"
"X1147699","X36221"
"X249105","X36221"
"X36221","X4359608"
"X1109121","X36221"
"X36221","X78950"
"X36221","X4462001"
"X204862","X36221"
"X154572","X36221"
"X36221","X56514"
"X329883","X36221"
"X210344","X559267"
"X4424841","X82554"
"X236870","X4366009"
"X1143242","X571700"
"X4342012","X4398985"
"X4374096","X665884"
"X1107049","X254728"
"X205306","X3932820"
"X1127991","X76374"
"X211112","X237047"
"X4443103","X783719"
"X239139","X804853"
"X4426923","X675804"
"X219330","X965853"
"X111088","X4481303"
"X1072801","X207662"
"X331020","X735782"
"X136286","X4480650"
"X216469","X46444"
"X245495","X830836"
"X143917","X3023198"
"X143917","X292322"
"X143917","X255194"
"X143917","X225714"
"X143917","X4421346"
"X143917","X156065"
"X143917","X222755"
"X143917","X580844"
"X114102","X143917"
"X143917","X670583"
"X143917","X903377"
"X143917","X243964"
"X143917","X239057"
"X4340506","X4398985"
"X217248","X289382"
"X2584634","X4382179"
"X4433485","X518524"
"X233990","X2584634"
"X204919","X217972"
"X3122801","X4470401"
"X113674","X518524"
"X3122801","X776252"
"X4383085","X4463044"
"X4463044","X524448"
"X204877","X524203"
"X277727","X648741"
"X211582","X4414886"
"X242437","X4414886"
"X200629","X237085"
"X245307","X783209"
"X1135547","X241009"
"X136286","X4350243"
"X1143242","X4355364"
"X144752","X154876"
"X212546","X2216505"
"X3011887","X4407984"
"X1597279","X875406"
"X1597279","X4419009"
"X1597279","X195316"
"X1597279","X4446652"
"X106543","X1597279"
"X1597279","X219188"
"X1597279","X218151"
"X1597279","X247036"
"X1597279","X538998"
"X1597279","X222183"
"X1597279","X508826"
"X1597279","X814778"
"X1597279","X864395"
"X4348693","X675804"
"X592723","X675804"
"X245807","X675804"
"X4380319","X675804"
"X4426965","X675804"
"X223418","X675804"
"X675804","X817066"
"X2305122","X675804"
"X554597","X675804"
"X243709","X675804"
"X314978","X554950"
"X155216","X4737"
"X331020","X43490"
"X219317","X817744"
"X1044938","X817744"
"X4319478","X817744"
"X449855","X817744"
"X218239","X817744"
"X3243803","X817744"
"X321721","X817744"
"X648976","X817744"
"X225456","X817744"
"X342450","X3660590"
"X2584634","X806568"
"X3606781","X783719"
"X4314192","X4331213"
"X1118913","X4331213"
"X4331213","X4395848"
"X4331213","X917124"
"X2579227","X4331213"
"X4331213","X765240"
"X173004","X4331213"
"X4331213","X4389972"
"X230455","X4331213"
"X111088","X1125203"
"X245550","X752915"
"X4323887","X574969"
"X3011887","X619848"
"X1111257","X3011887"
"X1140634","X255294"
"X207000","X966091"
"X538368","X783209"
"X208424","X4463629"
"X4421933","X78758"
"X2078498","X2661155"
"X1072801","X227450"
"X1072801","X698483"
"X1072801","X10859"
"X1068969","X1072801"
"X1072801","X1110732"
"X1072801","X704835"
"X1072801","X215615"
"X1072801","X208260"
"X1072801","X250522"
"X1072801","X279378"
"X1072801","X277776"
"X1072801","X915958"
"X1072801","X255422"
"X1072801","X4402420"
"X1072801","X2452007"
"X1072801","X4391549"
"X789242","X830836"
"X136286","X206609"
"X111088","X55316"
"X1137534","X1145135"
"X1134948","X524203"
"X209920","X561452"
"X239139","X273066"
"X247758","X341901"
"X524203","X831377"
"X1132140","X697651"
"X354337","X4424841"
"X353816","X830836"
"X305400","X899404"
"X155536","X217972"
"X209579","X227011"
"X1121144","X159656"
"X740940","X76374"
"X4424841","X558499"
"X136286","X4343047"
"X1143242","X264796"
"X2824905","X554950"
"X210619","X4308904"
"X1125639","X210619"
"X210619","X215504"
"X210619","X4354370"
"X210619","X273619"
"X210619","X257322"
"X210619","X763702"
"X210619","X3755711"
"X210619","X221734"
"X1110791","X205456"
"X1145135","X4304593"
"X188263","X357011"
"X3490229","X370090"
"X209920","X4447214"
"X205945","X210559"
"X4397840","X4737"
"X247758","X3046706"
"X207741","X237047"
"X4463044","X950668"
"X778795","X966091"
"X4458222","X4737"
"X1136154","X518524"
"X4440616","X689696"
"X4393923","X4421933"
"X247758","X256995"
"X247758","X253010"
