"F1","F2"
"X4253641","X694781"
"X255294","X257807"
"X302726","X558499"
"X302726","X4416103"
"X303643","X4476713"
"X693971","X790063"
"X2461324","X955576"
"X331020","X4358020"
"X1137140","X253948"
"X1137140","X4445768"
"X1137140","X407437"
"X1137140","X3956474"
"X171397","X4361041"
"X171397","X221218"
"X237357","X4231485"
"X217383","X53533"
"X217383","X325206"
"X1142898","X217383"
"X226979","X256241"
"X3155426","X4407984"
"X227450","X3155426"
"X207645","X207780"
"X206565","X815236"
"X206565","X835333"
"X206565","X214033"
"X112804","X959929"
"X1130984","X206405"
"X1130984","X242643"
"X1059885","X511916"
"X211450","X580190"
"X71326","X955576"
"X250119","X4231485"
"X115085","X250442"
"X219943","X250442"
"X1109927","X250442"
"X233990","X4400759"
"X4400759","X4408165"
"X4400759","X733328"
"X205267","X4475022"
"X4140499","X631893"
"X4140499","X4302753"
"X110291","X877265"
"X208009","X805276"
"X208009","X4431630"
"X208009","X783593"
"X4326937","X4370717"
"X261296","X339137"
"X1105914","X261296"
"X214033","X261296"
"X1013967","X609128"
"X1013967","X222673"
"X1013967","X742958"
"X163345","X702224"
"X4333468","X518645"
"X245661","X4333468"
"X4203048","X4430299"
"X4430568","X4483957"
"X113066","X1564851"
"X239656","X4395040"
"X222183","X4395040"
"X194029","X203975"
"X4468095","X805276"
"X661235","X805276"
"X344861","X805276"
"X303607","X831377"
"X303607","X811263"
"X218269","X4392312"
"X198655","X245203"
"X198655","X2867528"
"X1048870","X850214"
"X850214","X99371"
"X2329278","X240883"
"X2329278","X694781"
"X114410","X4382580"
"X154249","X557255"
"X1145649","X252012"
"X208293","X4304962"
"X4304962","X4457195"
"X2471299","X535922"
"X1148170","X332574"
"X1148170","X279384"
"X3774028","X383501"
"X1141126","X260920"
"X1117349","X260920"
"X114373","X256612"
"X114373","X875406"
"X114373","X675211"
"X214595","X4372011"
"X4373725","X4380319"
"X136399","X4396040"
"X241113","X249282"
"X241113","X447724"
"X212994","X3868361"
"X4392870","X538368"
"X379634","X4475718"
"X215999","X257685"
"X215669","X4328366"
"X215669","X3432765"
"X215669","X4379834"
"X3780776","X4443544"
"X1143242","X3780776"
"X722791","X812958"
"X4391816","X722791"
"X722791","X817066"
"X366851","X3780774"
"X1107740","X3780774"
"X3780773","X4463767"
"X3780773","X811740"
"X113237","X255255"
"X113237","X1144253"
"X249435","X806280"
"X223701","X242389"
"X2216490","X65695"
"X2216490","X620656"
"X4477066","X609128"
"X204862","X219034"
"X1110732","X542979"
"X242829","X544302"
"X242829","X4453684"
"X4047524","X4361561"
"X219317","X4361561"
"X4355675","X510452"
"X316756","X4477066"
"X316756","X4440616"
"X1127118","X568243"
"X4300142","X845167"
"X4426961","X845167"
"X822684","X845167"
"X216503","X3432765"
"X211106","X216503"
"X334113","X818887"
"X4368625","X4402734"
"X211377","X4402734"
"X237993","X4324024"
"X1754884","X549969"
"X55316","X88335"
"X207453","X88335"
"X249282","X890805"
"X249282","X841453"
"X1758198","X55316"
"X1758198","X361264"
"X1597279","X632692"
"X632692","X752915"
"X243360","X249138"
"X1042008","X249138"
"X204064","X368986"
"X701743","X807707"
"X4324314","X557496"
"X4047531","X557496"
"X4464306","X538368"
"X4464306","X775409"
"X4340285","X4464306"
"X217873","X4464306"
"X4464300","X822776"
"X206609","X716416"
"X204324","X4432944"
"X191430","X4432944"
"X4432944","X99390"
"X511916","X672612"
"X238109","X672612"
"X1143858","X220616"
"X244936","X337165"
"X2216505","X337165"
"X337165","X658162"
"X1004427","X1671561"
"X1145649","X292322"
"X4431630","X811187"
"X4431630","X888460"
"X161233","X4434042"
"X204372","X4434042"
"X211171","X248618"
"X339137","X4311541"
"X208118","X811187"
"X218887","X4417311"
"X4417311","X539496"
"X241899","X4322512"
"X4322512","X4479286"
"X4322512","X776909"
"X204110","X4322512"
"X221218","X4326208"
"X222917","X4348693"
"X222917","X332595"
"X4166998","X684669"
"X4326569","X684669"
"X158741","X684669"
"X1114509","X684669"
"X214730","X558499"
"X3561502","X4410353"
"X4296541","X639323"
"X1066660","X963877"
"X4366009","X4369159"
"X210036","X809686"
"X319921","X671354"
"X234053","X671354"
"X1134530","X230396"
"X1133502","X195967"
"X1133502","X806719"
"X1133502","X172128"
"X1143858","X4355364"
"X1143858","X225425"
"X1115272","X249425"
"X1138141","X4348931"
"X1138141","X522337"
"X4362899","X822988"
"X4362899","X509991"
"X1030212","X4416963"
"X205945","X775737"
"X543258","X775737"
"X4345884","X775737"
"X113212","X701722"
"X1092680","X113748"
"X210024","X223989"
"X223989","X4332978"
"X342450","X688993"
"X1137245","X213922"
"X213922","X240890"
"X211507","X213922"
"X133151","X220795"
"X133151","X4382005"
"X4322237","X4445432"
"X241899","X812831"
"X241899","X783593"
"X241899","X545536"
"X1072801","X239396"
"X221218","X239396"
"X11398","X245203"
"X1107468","X585151"
"X1107468","X219844"
"X4405449","X919835"
"X19427","X2375689"
"X253524","X2706695"
"X1138936","X2706695"
"X156963","X822037"
"X4430938","X82424"
"X4397783","X82424"
"X244000","X285591"
"X244000","X607006"
"X4308299","X547926"
"X3432765","X815546"
"X303643","X4373080"
"X1105388","X376348"
"X1106653","X226012"
"X319921","X4467325"
"X275810","X849761"
"X275810","X691109"
"X136883","X205592"
"X205592","X927380"
"X113684","X568429"
"X4047525","X697651"
"X1127161","X4047525"
"X4047525","X4414708"
"X4047524","X4360818"
"X255057","X811954"
"X172002","X255057"
"X1131787","X71326"
"X1131787","X4343167"
"X1131787","X4333668"
"X1131787","X240064"
"X163003","X238280"
"X252587","X279325"
"X244375","X804187"
"X4342012","X827300"
"X226743","X729766"
"X226743","X279663"
"X571363","X720193"
"X269944","X837977"
"X136524","X4472518"
"X227011","X4215713"
"X4215713","X554950"
"X4322536","X4326449"
"X279384","X4322536"
"X207982","X4322536"
"X238700","X4343458"
"X1863621","X238700"
"X253255","X256612"
"X256612","X289382"
"X256612","X800164"
"X256612","X2570551"
"X1109698","X4428032"
"X240890","X4428032"
"X109533","X4428032"
"X156870","X727692"
"X156870","X236367"
"X1113028","X225991"
"X218114","X282077"
"X282077","X359891"
"X282077","X4433576"
"X225073","X237047"
"X1011476","X225073"
"X225073","X225456"
"X220795","X509529"
"X220795","X239739"
"X226012","X4104836"
"X4104836","X4333805"
"X225970","X4104836"
"X214914","X4104836"
"X1110791","X4104836"
"X557209","X673712"
"X331020","X673712"
"X673712","X825086"
"X223684","X689563"
"X205434","X245807"
"X205434","X4483286"
"X205434","X212863"
"X211934","X4405710"
"X4405710","X746927"
"X222489","X549945"
"X277521","X716623"
"X106297","X4339415"
"X226718","X4346057"
"X1082249","X4346057"
"X4346057","X663880"
"X213493","X4346057"
"X167411","X4482379"
"X4091471","X4328544"
"X415943","X4328544"
"X254041","X693348"
"X254514","X3059362"
"X254514","X4319478"
"X254514","X509223"
"X1113693","X508826"
"X332725","X811954"
"X213944","X4297568"
"X213944","X313538"
"X213944","X4366403"
"X2651008","X812958"
"X435795","X509529"
"X214676","X788498"
"X4481986","X788498"
"X226697","X257386"
"X242643","X257386"
"X107654","X211660"
"X630306","X679240"
"X233703","X511916"
"X2629538","X792673"
"X154876","X2629538"
"X217325","X4454013"
"X217325","X4470139"
"X214676","X241533"
"X541201","X822219"
"X151131","X530809"
"X244936","X812522"
"X244936","X4397783"
"X544302","X815701"
"X4433485","X815701"
"X206609","X4387263"
"X4011113","X4387263"
"X4400735","X4433485"
"X207645","X366930"
"X4379834","X4456187"
"X4379834","X812149"
"X4333669","X4379834"
"X359891","X4396040"
"X278687","X4426270"
"X222649","X4426270"
"X205609","X689563"
"X205609","X808919"
"X205609","X4452864"
"X1108603","X205609"
"X1142898","X205609"
"X559240","X812788"
"X146193","X4418304"
"X225991","X824379"
"X518645","X693971"
"X2606068","X518645"
"X518645","X574269"
"X1104452","X4445768"
"X1104452","X4381529"
"X211929","X226012"
"X1128503","X226012"
"X1130023","X4335936"
"X317449","X4335936"
"X214585","X255255"
"X1141126","X899404"
"X212994","X590849"
"X1757040","X590849"
"X4231485","X590849"
"X178300","X246136"
"X246136","X542445"
"X246136","X4362226"
"X4178575","X810997"
"X4442074","X681290"
"X210606","X797182"
"X332574","X4415674"
"X1123130","X332574"
"X4369502","X4439862"
"X217392","X727953"
"X152545","X4349607"
"X205044","X4349607"
"X4418595","X4470571"
"X1102642","X4418595"
"X240881","X4386675"
"X1125483","X144752"
"X4364578","X758309"
"X208284","X758309"
"X1564851","X223286"
"X1145135","X241533"
"X1066793","X241533"
"X210024","X4420126"
"X4155882","X4482773"
"X2452007","X4155882"
"X539206","X631893"
"X249435","X539206"
"X539206","X544493"
"X205044","X4166998"
"X4308332","X4344614"
"X1012195","X1121611"
"X1012195","X4308264"
"X241615","X3875675"
"X207848","X3875675"
"X4304593","X4321056"
"X4482381","X584055"
"X2542324","X4300142"
"X253255","X4388439"
"X1127161","X3749019"
"X1864542","X528749"
"X213687","X882187"
"X143917","X368658"
"X1128503","X368658"
"X368658","X4333668"
"X220148","X817185"
"X4333805","X806564"
"X227450","X736099"
"X4360288","X736099"
"X1880800","X736099"
"X401193","X4424785"
"X3758319","X4427473"
"X1141842","X65673"
"X65673","X88159"
"X217558","X4426789"
"X1108799","X36221"
"X559267","X828826"
"X4361797","X82554"
"X255018","X4366008"
"X229404","X4366008"
"X4366009","X4394649"
"X238508","X4366009"
"X2216505","X2651794"
"X247794","X927380"
"X114037","X247794"
"X1142950","X4342012"
"X254728","X3432758"
"X206654","X4466529"
"X1134782","X4466529"
"X184027","X3932820"
"X1127991","X4322410"
"X1127991","X257685"
"X1127991","X4418001"
"X217392","X4443103"
"X209946","X804853"
"X255261","X4426923"
"X226697","X4373613"
"X1110791","X4481303"
"X207662","X4344357"
"X216469","X831179"
"X4373418","X4465309"
"X1122067","X143917"
"X528749","X535859"
"X535859","X549252"
"X4433485","X822037"
"X212876","X233990"
"X3956474","X4044057"
"X4470401","X819753"
"X4470401","X635094"
"X4470401","X765240"
"X4470401","X79012"
"X4350439","X4470401"
"X161623","X998272"
"X325796","X4383085"
"X1111634","X320992"
"X320992","X4348101"
"X217873","X524448"
"X204877","X531776"
"X204877","X4458583"
"X204877","X240752"
"X235519","X3270624"
"X277727","X589372"
"X211329","X4418140"
"X211329","X447724"
"X2364698","X641892"
"X2364698","X284813"
"X211582","X58103"
"X206632","X211582"
"X222755","X242437"
"X1123762","X1139658"
"X1139658","X219188"
"X1096660","X569516"
"X1135547","X3695905"
"X1135547","X254138"
"X1135547","X4384648"
"X225346","X4355364"
"X2216505","X4408249"
"X4361797","X580173"
"X4365229","X580173"
"X136311","X1597279"
"X1597279","X278371"
"X579899","X675804"
"X1024519","X675804"
"X3087743","X675804"
"X4364578","X4460872"
"X155216","X178506"
"X43490","X4359608"
"X2305122","X817744"
"X104281","X806564"
"X217948","X806568"
"X792673","X806568"
"X663880","X806568"
"X221891","X4384233"
"X4384233","X560779"
"X4222085","X4331213"
"X1125203","X71326"
"X214977","X4323887"
"X4323887","X805122"
"X4323887","X524203"
"X619848","X740940"
"X235912","X619848"
"X232214","X619848"
"X3087743","X619848"
"X3270623","X619848"
"X4314192","X564196"
"X4314192","X4361593"
"X543181","X894654"
"X4467742","X511318"
"X2305122","X538368"
"X4463629","X815635"
"X339039","X689024"
"X211450","X339039"
"X78758","X821038"
"X214977","X568429"
"X214977","X4362183"
"X214977","X79712"
"X1139209","X214977"
"X1112326","X2661155"
"X225425","X2661155"
"X2661155","X830836"
"X2661155","X929398"
"X2661155","X4332974"
"X1072801","X509529"
"X1072801","X89333"
"X691109","X789242"
"X204970","X55316"
"X1137534","X645337"
"X1048870","X620656"
"X1132880","X620656"
"X1134948","X206948"
"X561452","X797200"
"X4390723","X561452"
"X3023198","X4465746"
"X3023198","X517841"
"X341901","X946344"
"X341901","X554330"
"X222635","X341901"
"X353816","X4392369"
"X172002","X353816"
"X1106004","X305400"
"X305400","X4397941"
"X155536","X215375"
"X155536","X255186"
"X209613","X4458013"
"X1143359","X4458013"
"X209579","X842518"
"X209579","X814778"
"X206803","X292322"
"X217448","X292322"
"X292322","X4453684"
"X1121144","X4358275"
"X1110139","X888460"
"X1115272","X264796"
"X1139057","X264796"
"X205456","X512708"
"X204324","X251273"
"X222088","X245871"
"X245871","X4483076"
"X4304593","X818429"
"X4304593","X79012"
"X255186","X629456"
"X255194","X3768296"
"X154220","X329490"
"X1042008","X804114"
"X4359078","X4397840"
"X4397840","X512273"
"X136286","X4397840"
"X4458222","X822988"
"X4458222","X562817"
"X1136154","X301554"
"X225991","X612504"
"X206632","X4317198"
"X222088","X4308904"
"X253754","X555059"
"X253754","X4297568"
"X1112740","X253754"
"X1146343","X253754"
"X253754","X556603"
"X227450","X266132"
"X1134726","X4393922"
"X1141842","X242389"
"X172002","X236786"
"X212876","X4365064"
"X1127118","X4365064"
"X4342154","X875406"
"X4333669","X875406"
"X4386443","X875406"
"X317451","X812730"
"X160268","X205267"
"X1139209","X160268"
"X237253","X4299286"
"X1133506","X4362183"
"X4322410","X4463042"
"X210409","X4463047"
"X221349","X4463047"
"X112804","X3937258"
"X4428749","X574969"
"X4428749","X525009"
"X4308299","X811954"
"X207022","X847739"
"X4426965","X824812"
"X332041","X723493"
"X207124","X332041"
"X509980","X694781"
"X219330","X243500"
"X1147219","X242900"
"X242900","X4349732"
"X206803","X248618"
"X204470","X561088"
"X136276","X332595"
"X4425219","X693971"
"X1060353","X547360"
"X1060353","X254031"
"X1121436","X222868"
"X217558","X824812"
"X217558","X279378"
"X256995","X915958"
"X4302249","X812788"
"X1954099","X4465309"
"X1954099","X215776"
"X210722","X852722"
"X4450823","X562167"
"X1031581","X562164"
"X343242","X834863"
"X220719","X509038"
"X220719","X4458583"
"X1132880","X2542324"
"X228955","X530809"
"X366851","X530809"
"X205301","X4327452"
"X205306","X4408165"
"X806719","X809686"
"X4403535","X797200"
"X800164","X898715"
"X1092680","X826332"
"X1092680","X129424"
"X1092680","X2452007"
"X1092680","X830696"
"X1092680","X236367"
"X216638","X4378679"
"X1107148","X215379"
"X1107148","X4333666"
"X1107148","X263857"
"X4318044","X509578"
"X216643","X509578"
"X1140682","X4481422"
"X4412134","X4445768"
"X4412134","X683436"
"X1031581","X81414"
"X538324","X822037"
"X1781230","X822037"
"X363198","X822037"
"X317157","X4308264"
"X253010","X899404"
"X244375","X899404"
"X370772","X899404"
"X1123797","X571363"
"X4446019","X511318"
"X304694","X4446019"
"X4322410","X511742"
"X4322410","X549969"
"X206948","X2606068"
"X4423681","X4478654"
"X225714","X4368625"
"X206654","X946344"
"X1060549","X1083580"
"X1060549","X237482"
"X4399343","X509374"
"X208637","X217481"
"X217481","X4470139"
"X136286","X156605"
"X279613","X4324024"
"X1112326","X356045"
"X1125639","X857566"
"X4318042","X898715"
"X2025156","X219763"
"X210800","X3087743"
"X223251","X541209"
"X1107982","X2216514"
"X222673","X360826"
"X1121483","X4408165"
"X4408165","X99616"
"X235854","X565936"
"X173004","X235854"
"X1147699","X538324"
"X342450","X538324"
"X1140514","X242389"
"X343700","X805122"
"X1121233","X805122"
"X4465329","X560779"
"X4178573","X4465329"
"X204110","X4452072"
"X207124","X808919"
"X207124","X224138"
"X246316","X511916"
"X115085","X254173"
"X282328","X560165"
"X514095","X560165"
"X238800","X4345036"
"X204970","X4456633"
"X1078375","X160354"
"X1757040","X4401982"
"X4401982","X683436"
"X3774028","X4443544"
"X191430","X518524"
"X205267","X329074"
"X329074","X361264"
"X112992","X329074"
"X3246969","X329074"
"X204147","X574269"
"X114102","X204147"
"X4460178","X678584"
"X146193","X554330"
"X146193","X2182540"
"X146193","X729766"
"X1118913","X242393"
"X1118913","X4392312"
"X1110613","X757795"
"X1682862","X4457835"
"X211527","X509223"
"X211527","X727462"
"X211527","X354510"
"X211527","X4458583"
"X1102642","X3202485"
"X114410","X137617"
"X4311802","X89669"
"X607006","X89669"
"X4373613","X825502"
"X4460872","X828826"
"X213493","X828826"
"X2885481","X828826"
"X1123112","X555059"
"X1123112","X638638"
"X1123112","X818887"
"X1110562","X811449"
"X1110562","X4361593"
"X156065","X587745"
"X217034","X285591"
"X2651948","X4409769"
"X1040631","X627902"
"X1132813","X279325"
"X161233","X816090"
"X4047531","X689563"
"X1119609","X1137245"
"X239739","X240890"
"X250268","X4403247"
"X217972","X4460872"
"X217972","X562010"
"X324217","X4369692"
"X555059","X905892"
"X246446","X2990720"
"X238280","X4460178"
"X238327","X4366419"
"X4394552","X4465309"
"X4465309","X99371"
"X1012668","X1123762"
"X1123762","X222810"
"X136883","X254922"
"X136883","X4414439"
"X1125423","X6602"
"X1125423","X4387187"
"X137420","X843938"
"X137420","X658162"
"X226718","X261978"
"X242393","X3695905"
"X1024089","X1108556"
"X1108556","X155455"
"X1108556","X4349313"
"X4340285","X579008"
"X310458","X579008"
"X248002","X760304"
"X313925","X760304"
"X226516","X4341463"
"X2669168","X4329545"
"X1083580","X4329545"
"X154249","X250522"
"X145959","X2984011"
"X2984011","X4373613"
"X525009","X550734"
"X235943","X550734"
"X417101","X850823"
"X104947","X4448095"
"X411799","X70614"
"X238508","X70614"
"X223655","X238022"
"X224638","X4373078"
"X224638","X327078"
"X160289","X4311802"
"X160289","X936318"
"X329302","X4339767"
"X257322","X534621"
"X188263","X278073"
"X188263","X84405"
