"F1","F2"
"X1145135","X947849"
"X4416963","X99616"
"X113748","X576220"
"X339137","X4472715"
"X339137","X978841"
"X204064","X213922"
"X2040589","X213922"
"X4445432","X50973"
"X815236","X888460"
"X4381878","X4428250"
"X1147608","X919835"
"X312923","X521208"
"X521208","X903377"
"X156963","X250187"
"X156963","X917124"
"X539496","X704614"
"X223912","X65695"
"X3432765","X620041"
"X1125639","X4456936"
"X303643","X728744"
"X303643","X4397783"
"X4467325","X4468095"
"X225943","X4467325"
"X4462001","X4467325"
"X4341711","X4467325"
"X275810","X4356724"
"X222183","X275810"
"X4461509","X966091"
"X323929","X561452"
"X113684","X273066"
"X4047525","X4353076"
"X2838675","X4047524"
"X255057","X572125"
"X1131787","X2393580"
"X560165","X804187"
"X247781","X827300"
"X4408165","X720193"
"X243367","X4322237"
"X1880800","X243367"
"X161108","X269944"
"X260668","X4215713"
"X3755711","X4215713"
"X4380399","X4427473"
"X4322536","X4357037"
"X156870","X4443379"
"X258814","X4385103"
"X282077","X843938"
"X2867528","X4468095"
"X277776","X4468095"
"X1129074","X566165"
"X1130023","X566165"
"X220795","X812831"
"X220795","X3269318"
"X248002","X3740253"
"X1137124","X3555041"
"X2025156","X673712"
"X711023","X823862"
"X209595","X4440067"
"X209595","X309515"
"X1127642","X205434"
"X4405710","X735782"
"X205044","X222489"
"X206038","X4482379"
"X254041","X4479286"
"X2017429","X4426923"
"X2017429","X279650"
"X1113693","X4311802"
"X253948","X332725"
"X4457893","X698483"
"X4408751","X4457893"
"X1113341","X1141842"
"X214585","X812958"
"X435795","X4445349"
"X2100502","X435795"
"X619848","X788498"
"X579899","X788498"
"X107654","X4443725"
"X1106004","X630306"
"X4322237","X4472979"
"X233703","X927380"
"X217325","X560779"
"X4387263","X4469865"
"X2305122","X4387263"
"X4400735","X813938"
"X223957","X366930"
"X4341344","X4396040"
"X4396040","X841453"
"X205609","X538998"
"X205609","X311991"
"X220353","X4418304"
"X4418304","X509223"
"X1109902","X4418304"
"X824379","X831386"
"X4397941","X824379"
"X518645","X84405"
"X14906","X518645"
"X226012","X4296435"
"X1111634","X226012"
"X217839","X890805"
"X217839","X806719"
"X1113813","X1141126"
"X1142733","X4470401"
"X1142733","X207741"
"X1143359","X207510"
"X243964","X4178575"
"X208896","X815635"
"X656975","X797182"
"X4409450","X723493"
"X4390724","X544302"
"X1147608","X570864"
"X332574","X4348693"
"X354337","X4323037"
"X113772","X161108"
"X161108","X4311512"
"X250187","X4418595"
"X1106524","X4386675"
"X758309","X818887"
"X253948","X800082"
"X238538","X4155882"
"X4155882","X4393923"
"X1001333","X1082249"
"X152545","X631678"
"X152545","X975164"
"X250229","X539206"
"X4463767","X539206"
"X212546","X584055"
"X4300142","X847739"
"X200324","X3749019"
"X317449","X3749019"
"X1864542","X225970"
"X1864542","X631678"
"X2815573","X368658"
"X4333805","X666038"
"X370425","X736099"
"X2228274","X4424785"
"X4424785","X4433576"
"X4427473","X588123"
"X4427473","X4478649"
"X228955","X65673"
"X238327","X4426789"
"X210914","X4426789"
"X178300","X36221"
"X239739","X36221"
"X219989","X36221"
"X217448","X4366009"
"X4354370","X571700"
"X4459346","X571700"
"X3490229","X665884"
"X4410353","X665884"
"X254728","X4374096"
"X211112","X2972180"
"X629456","X804853"
"X4382005","X628601"
"X239057","X4481303"
"X207662","X4382894"
"X3018647","X735782"
"X4360818","X4480650"
"X4373418","X4383658"
"X4350558","X4373418"
"X143917","X1546874"
"X3010829","X4340506"
"X226283","X289382"
"X289382","X4343936"
"X329490","X4382179"
"X1111753","X4433485"
"X4044057","X511318"
"X1012668","X4470401"
"X1028956","X113674"
"X113674","X159654"
"X574969","X998272"
"X138295","X998272"
"X555059","X776252"
"X3606781","X4383085"
"X4383085","X4469865"
"X3616127","X4383085"
"X204877","X562817"
"X1906814","X818887"
"X1139658","X4390724"
"X245307","X746927"
"X1110139","X4350243"
"X2216489","X4350243"
"X4355364","X556217"
"X144752","X4363845"
"X144752","X4364580"
"X144752","X565240"
"X1143376","X4373080"
"X1107976","X1597279"
"X1129074","X4343458"
"X239739","X4364578"
"X1044938","X155216"
"X325637","X43490"
"X204862","X43490"
"X43490","X814778"
"X1127984","X806564"
"X245661","X806568"
"X4384233","X733328"
"X4384233","X4446565"
"X111439","X3606781"
"X4410196","X752915"
"X158741","X4323887"
"X619848","X830696"
"X1042008","X4314192"
"X1111257","X417101"
"X1111257","X207982"
"X255194","X4389227"
"X244375","X4389227"
"X106562","X255294"
"X242643","X255294"
"X3769417","X723690"
"X4397986","X4467742"
"X207000","X4453471"
"X4414004","X538368"
"X4333668","X4463629"
"X2542324","X339039"
"X137191","X339039"
"X210428","X78758"
"X152079","X78758"
"X129424","X214977"
"X214977","X309515"
"X204934","X2661155"
"X4364580","X789242"
"X565240","X789242"
"X1137534","X4402421"
"X1108799","X223618"
"X220256","X831377"
"X204934","X223655"
"X204934","X205245"
"X204934","X4371107"
"X152079","X155536"
"X1630","X277521"
"X1107601","X277521"
"X312923","X317451"
"X137617","X4348693"
"X362293","X4348693"
"X574269","X740940"
"X1006099","X740940"
"X1088543","X4343047"
"X144069","X4343047"
"X1117349","X264796"
"X136959","X2824905"
"X204324","X4340285"
"X245871","X536442"
"X357011","X79012"
"X4350455","X945733"
"X255194","X509578"
"X100640","X329490"
"X265283","X329490"
"X370090","X4404468"
"X1051693","X4447214"
"X205945","X4011113"
"X333731","X4397840"
"X4397840","X813938"
"X219317","X3046706"
"X2584634","X3046706"
"X2972180","X3774028"
"X257891","X2972180"
"X236367","X2972180"
"X1136154","X3823564"
"X1136154","X917124"
"X204372","X589327"
"X225991","X763702"
"X4308904","X819753"
"X222088","X4308904"
"X216576","X4308904"
"X253754","X822684"
"X253754","X4105048"
"X3059362","X4393922"
"X2200137","X305094"
"X212223","X305094"
"X212863","X236786"
"X317451","X811740"
"X238109","X317451"
"X244091","X509622"
"X2344719","X564348"
"X4324652","X4463047"
"X112804","X821187"
"X4156025","X4428749"
"X4308299","X4344614"
"X207022","X4303530"
"X4308297","X760304"
"X109533","X4380319"
"X4380319","X738462"
"X137617","X4426961"
"X4426965","X663399"
"X138295","X4426965"
"X239492","X332041"
"X363198","X509980"
"X223139","X242900"
"X206803","X541201"
"X4461508","X541741"
"X311640","X4461508"
"X1140634","X254173"
"X4373456","X570344"
"X222868","X509374"
"X167411","X4361131"
"X256995","X4430681"
"X213078","X38048"
"X2869559","X823541"
"X210576","X723493"
"X3956474","X562167"
"X691109","X834863"
"X4382187","X893238"
"X220715","X4011113"
"X2542324","X354224"
"X1125248","X4419009"
"X242252","X4419009"
"X3639039","X806719"
"X4392804","X4403535"
"X4386443","X800164"
"X1126447","X2913695"
"X216638","X285591"
"X216638","X99371"
"X1107148","X544493"
"X1125006","X4412134"
"X1031581","X1134782"
"X317157","X447724"
"X317157","X544493"
"X2216514","X899404"
"X4322410","X4380559"
"X4326569","X4428250"
"X113118","X4414886"
"X4478654","X661235"
"X2228274","X4433576"
"X156605","X984175"
"X215053","X331647"
"X1125639","X666038"
"X1125248","X4345939"
"X1131591","X219763"
"X254138","X4391816"
"X2358857","X304694"
"X1108556","X58103"
"X3312254","X58103"
"X210800","X820440"
"X222673","X227011"
"X222673","X4432759"
"X235854","X4360323"
"X274691","X514316"
"X1121436","X4391686"
"X207124","X240064"
"X207124","X648741"
"X1126064","X4421346"
"X1111579","X171166"
"X1111579","X770366"
"X1078375","X744041"
"X1088543","X4401982"
"X158741","X2040589"
"X1111144","X537910"
"X209613","X579899"
"X4299286","X533581"
"X239492","X533581"
"X533581","X563764"
"X533581","X584174"
"X154220","X344861"
"X146193","X252274"
"X210428","X749768"
"X154876","X757795"
"X4318044","X757795"
"X3202485","X542445"
"X137617","X246567"
"X224138","X226283"
"X215504","X4319207"
"X240045","X4319207"
"X3057707","X89669"
"X585600","X825502"
"X161623","X825502"
"X1134726","X825502"
"X1123112","X254173"
"X1123112","X4345884"
"X1110562","X4302755"
"X1102974","X301554"
"X1109927","X627902"
"X228500","X4321559"
"X228500","X556657"
"X161233","X715453"
"X211684","X689563"
"X1137245","X217873"
"X154764","X928889"
"X4299286","X4330047"
"X219317","X324217"
"X4383658","X806063"
"X264791","X4395848"
"X217241","X4395848"
"X1134236","X246446"
"X256300","X4387187"
"X4321559","X4366419"
"X4465309","X4479286"
"X136524","X689024"
"X258654","X818429"
"X1111144","X812522"
"X1111144","X824399"
"X1111144","X739135"
"X1123762","X4222085"
"X1132813","X585600"
"X137420","X656975"
"X137420","X3011887"
"X1108556","X797200"
"X579008","X739135"
"X4361593","X760304"
"X1086575","X4341463"
"X4325231","X817066"
"X1142871","X540423"
"X4403247","X4448095"
"X234329","X70614"
"X307744","X70614"
"X1122667","X376348"
"X1118721","X376348"
"X1024519","X309146"
"X1024519","X1135906"
"X2344719","X329302"
"X4443725","X4477119"
"X4418001","X826332"
"X206106","X243709"
"X4334725","X554330"
"X620041","X823057"
"X241289","X285061"
"X212994","X4320467"
"X212994","X660122"
"X100640","X113118"
"X237492","X4435345"
"X237492","X4463684"
"X1139779","X161623"
"X178300","X219330"
"X4296541","X847739"
"X1119336","X847739"
"X112795","X220353"
"X2990720","X359864"
"X4343458","X765240"
"X1042858","X249105"
"X1042858","X535548"
"X1067210","X4327302"
"X366851","X4318044"
"X228047","X830015"
"X214585","X228047"
"X1127161","X4392369"
"X1127161","X114410"
"X1127161","X4435345"
"X220359","X4470571"
"X4430956","X975164"
"X302250","X4156025"
"X215776","X4405449"
"X3768296","X817333"
"X220359","X800980"
"X4332942","X4344357"
"X4332942","X820774"
"X237073","X554597"
"X228186","X237073"
"X216643","X250187"
"X4328468","X4394171"
"X4414706","X566684"
"X210561","X4412915"
"X4362183","X4412915"
"X175203","X4362183"
"X278073","X831573"
"X278073","X279129"
"X205044","X564196"
"X29808","X3755712"
"X2182540","X823057"
"X370772","X4299286"
"X259155","X638638"
"X325796","X511742"
"X1122067","X4354370"
"X1122067","X241615"
"X239057","X259732"
"X1105914","X4481986"
"X1145388","X2806353"
"X2806353","X4318042"
"X2806353","X500203"
"X558862","X576679"
"X1030212","X4308759"
"X1024089","X106543"
"X1024089","X4427678"
"X1096660","X256931"
"X1096660","X938039"
"X204064","X528749"
"X204064","X232214"
"X134163","X156885"
"X134163","X4433576"
"X206948","X211950"
"X1106524","X565173"
"X4308759","X4435517"
"X230396","X245661"
"X4370817","X701743"
"X4483076","X577299"
"X2353709","X71326"
"X219282","X4314412"
"X225306","X4458277"
"X225306","X226108"
"X225306","X4382005"
"X217448","X4479100"
"X1119093","X4369470"
"X4400369","X819753"
"X4303530","X836320"
"X839836","X959372"
"X285415","X666506"
"X240630","X951954"
"X4372503","X951954"
"X216576","X656975"
"X3011887","X656975"
"X18499","X4470972"
"X1119609","X211231"
"X4414674","X927380"
"X4320431","X4320966"
"X106737","X556217"
"X29808","X4469248"
"X1127642","X248002"
"X248002","X3246969"
"X1139209","X206654"
"X136311","X4439865"
"X1006382","X4439865"
"X4439862","X4483076"
"X216839","X4296541"
"X4338567","X4339767"
"X154876","X4440616"
"X4297733","X4403247"
"X250572","X660122"
"X235807","X4365374"
"X207153","X733328"
"X4446565","X733328"
"X263857","X4392369"
"X4392369","X701722"
"X1122667","X4302540"
"X343242","X4361797"
"X195316","X2838675"
"X1128503","X831573"
"X137191","X4302753"
"X319921","X556217"
"X209946","X4381529"
"X331781","X4319478"
"X250522","X672109"
"X1142898","X672109"
"X210914","X238327"
"X238327","X321022"
"X218887","X2867528"
"X130036","X218887"
"X4450823","X4452864"
"X4445349","X576679"
"X306436","X576679"
"X1112580","X4320467"
"X112992","X306710"
"X580635","X662514"
"X232214","X871009"
"X222364","X513782"
"X160354","X803240"
"X4311802","X4391549"
"X160354","X4394945"
"X218151","X233959"
"X4402103","X815635"
"X4368272","X549945"
"X225943","X2867528"
"X1144575","X449855"
"X160354","X817185"
"X154958","X155455"
"X240630","X4384648"
"X1012668","X205267"
"X207645","X984175"
"X220870","X4385167"
"X14906","X758613"
"X1143376","X254922"
"X238508","X285591"
"X4443725","X511318"
"X4470985","X511318"
"X1106090","X3755711"
"X1073431","X154572"
"X4425219","X635094"
"X104947","X981393"
"X213587","X215379"
"X204110","X4456633"
"X226596","X664216"
"X14906","X664216"
"X361100","X4326937"
"X251273","X278544"
"X244727","X2954732"
"X111088","X113502"
"X1109121","X360826"
"X360826","X810997"
"X207848","X225425"
"X156885","X536442"
"X1111753","X549945"
"X217979","X4420570"
"X2336265","X4415674"
"X222022","X239156"
"X204714","X4453467"
"X114410","X4463684"
"X114410","X701722"
"X159654","X542445"
"X210428","X253622"
"X176150","X4472715"
"X176150","X4474887"
"X2685346","X93777"
"X223752","X224138"
"X4320961","X832215"
"X278371","X343668"
"X102183","X278687"
"X1109902","X4389407"
"X160645","X531776"
"X172128","X252995"
"X1127642","X4345884"
"X208637","X978841"
"X222088","X4400369"
"X1115272","X818429"
"X4349732","X591575"
"X1117661","X509188"
"X279384","X946179"
"X4308304","X946179"
"X111439","X2305122"
"X111439","X4458583"
"X245661","X816092"
"X237482","X245661"
"X1542689","X342034"
"X4414706","X801258"
"X154174","X246567"
"X4340699","X812730"
"X4340699","X4432759"
"X1087462","X3242633"
"X4374096","X56514"
"X2954732","X815546"
"X2452007","X4452864"
"X4398985","X940348"
"X4398985","X820182"
"X276290","X4446652"
"X4446652","X748564"
"X114163","X4402421"
"X220013","X234053"
"X509223","X580844"
"X546081","X580844"
"X4297666","X816090"
"X4414439","X816090"
"X1123749","X4371629"
"X214585","X742958"
"X1048870","X239656"
"X237047","X763702"
"X106543","X320352"
"X1067210","X547360"
"X1067210","X369436"
"X178506","X279384"
"X739135","X812522"
"X4330690","X525009"
"X2584634","X763702"
"X151843","X4432930"
"X212863","X4432930"
"X220359","X363198"
"X4460870","X529793"
"X4302249","X4438586"
"X4403247","X551139"
"X4343936","X7908"
"X101884","X584612"
"X1109121","X810997"
"X2733663","X3691870"
"X1117661","X4480003"
"X1108099","X839836"
"X1141480","X219188"
"X226596","X277713"
"X1144840","X206948"
"X252274","X304694"
"X500203","X517841"
"X14906","X4381529"
"X3616121","X4472715"
"X4472715","X978841"
"X257322","X729865"
"X213587","X651642"
"X171166","X660122"
"X249247","X4393265"
"X4393265","X679240"
"X217132","X807594"
"X4472087","X509529"
"X223957","X98258"
"X218114","X545436"
"X222592","X765240"
"X1086575","X765240"
"X250522","X4479100"
"X366977","X4483957"
"X218239","X4414004"
"X4418001","X701743"
"X1006382","X4350439"
"X4421933","X4454018"
"X151843","X212863"
"X151843","X4395329"
"X286367","X4302753"
"X210024","X4349732"
"X190279","X4397025"
"X152363","X928889"
"X208197","X4395329"
"X215656","X219943"
"X215656","X4424553"
"X159656","X4397941"
"X1134236","X211377"
"X4385959","X607006"
"X1142263","X4397838"
"X2393580","X4425219"
"X2393580","X4369692"
"X783338","X831179"
"X210344","X565936"
"X248618","X343700"
"X2100502","X4302755"
"X253524","X4451942"
"X214914","X253524"
"X4324314","X587745"
"X1107601","X1630"
"X4320526","X4446003"
"X144065","X4481986"
"X509529","X88159"
"X220436","X4433576"
"X1123984","X4385167"
"X4385167","X804114"
"X113772","X262768"
"X539496","X800082"
"X1023953","X893238"
"X536442","X905892"
"X4361510","X548077"
"X1108603","X210606"
"X181846","X4399343"
"X4463237","X589372"
"X226216","X276290"
"X282328","X4402421"
"X155243","X2353709"
"X240553","X763702"
"X1144253","X218151"
"X1134726","X4373613"
"X4311516","X649507"
"X247509","X554602"
"X220686","X4346060"
"X3243803","X4394171"
"X155297","X4350439"
"X1110613","X814778"
"X2100502","X306436"
"X160986","X4375802"
"X4402420","X535922"
"X239904","X247036"
"X212223","X223302"
"X331020","X4345881"
"X242643","X545436"
"X204714","X612504"
"X1107740","X216128"
"X130441","X994593"
"X546081","X554597"
"X2570551","X727319"
"X1132969","X4432759"
"X336892","X544493"
"X4358275","X4361797"
"X4365229","X4454013"
"X4454012","X512708"
"X2216514","X4361131"
"X220686","X903377"
"X4426972","X4468101"
"X200629","X723690"
"X4372149","X746927"
"X102183","X4453684"
"X666506","X723690"
"X4357037","X814778"
"X101884","X4411140"
"X1143359","X56514"
"X279378","X3058403"
"X222649","X929398"
"X222649","X240752"
"X4446003","X987863"
"X214914","X987863"
"X251983","X3058403"
"X216128","X776909"
"X1131854","X4481986"
"X4358341","X520961"
"X236870","X541963"
"X4397025","X929398"
"X4330658","X815088"
"X3116297","X560779"
"X4349313","X915958"
"X4178573","X4387966"
"X100432","X1144253"
"X212863","X238022"
"X184027","X729766"
"X3058403","X4463684"
"X100432","X2375689"
"X56514","X648976"
"X3533944","X748564"
"X4470139","X811954"
"X228186","X546081"
"X340964","X366977"
"X4332978","X550219"
"X311603","X864395"
"X136281","X136286"
